week_end_date,period_end_date,period_end_month,period_end_year
2026-01-11,2026-01-25,1,2026
2026-01-18,2026-01-25,1,2026
2026-01-25,2026-01-25,1,2026
2026-02-01,2026-02-22,2,2026
2026-02-08,2026-02-22,2,2026
2026-02-15,2026-02-22,2,2026
2026-02-22,2026-02-22,2,2026
2026-03-01,2026-03-29,3,2026
2026-03-08,2026-03-29,3,2026
2026-03-15,2026-03-29,3,2026
2026-03-22,2026-03-29,3,2026
2026-03-29,2026-03-29,3,2026
2026-04-05,2026-04-26,4,2026
2026-04-12,2026-04-26,4,2026
2026-04-19,2026-04-26,4,2026
2026-04-26,2026-04-26,4,2026
2026-05-03,2026-05-24,5,2026
2026-05-10,2026-05-24,5,2026
2026-05-17,2026-05-24,5,2026
2026-05-24,2026-05-24,5,2026
2026-05-31,2026-06-28,6,2026
2026-06-07,2026-06-28,6,2026
2026-06-14,2026-06-28,6,2026
2026-06-21,2026-06-28,6,2026
2026-06-28,2026-06-28,6,2026
2026-07-05,2026-07-26,7,2026
2026-07-12,2026-07-26,7,2026
2026-07-19,2026-07-26,7,2026
2026-07-26,2026-07-26,7,2026
2026-08-02,2026-08-23,8,2026
2026-08-09,2026-08-23,8,2026
2026-08-16,2026-08-23,8,2026
2026-08-23,2026-08-23,8,2026
2026-08-30,2026-09-27,9,2026
2026-09-06,2026-09-27,9,2026
2026-09-13,2026-09-27,9,2026
2026-09-20,2026-09-27,9,2026
2026-09-27,2026-09-27,9,2026
2026-10-04,2026-10-25,10,2026
2026-10-11,2026-10-25,10,2026
2026-10-18,2026-10-25,10,2026
2026-10-25,2026-10-25,10,2026
2026-11-01,2026-11-22,11,2026
2026-11-08,2026-11-22,11,2026
2026-11-15,2026-11-22,11,2026
2026-11-22,2026-11-22,11,2026
2026-11-29,2026-12-27,12,2026
2026-12-06,2026-12-27,12,2026
2026-12-13,2026-12-27,12,2026
2026-12-20,2026-12-27,12,2026
2026-12-27,2026-12-27,12,2026
2027-01-03,2027-01-24,1,2027
2027-01-10,2027-01-24,1,2027
2027-01-17,2027-01-24,1,2027
2027-01-24,2027-01-24,1,2027
2027-01-31,2027-02-21,2,2027
2027-02-07,2027-02-21,2,2027
2027-02-14,2027-02-21,2,2027
2027-02-21,2027-02-21,2,2027
2027-02-28,2027-03-28,3,2027
2027-03-07,2027-03-28,3,2027
2027-03-14,2027-03-28,3,2027
2027-03-21,2027-03-28,3,2027
2027-03-28,2027-03-28,3,2027
2027-04-04,2027-04-25,4,2027
2027-04-11,2027-04-25,4,2027
2027-04-18,2027-04-25,4,2027
2027-04-25,2027-04-25,4,2027
2027-05-02,2027-05-23,5,2027
2027-05-09,2027-05-23,5,2027
2027-05-16,2027-05-23,5,2027
2027-05-23,2027-05-23,5,2027
2027-05-30,2027-06-27,6,2027
2027-06-06,2027-06-27,6,2027
2027-06-13,2027-06-27,6,2027
2027-06-20,2027-06-27,6,2027
2027-06-27,2027-06-27,6,2027
2027-07-04,2027-07-25,7,2027
2027-07-11,2027-07-25,7,2027
2027-07-18,2027-07-25,7,2027
2027-07-25,2027-07-25,7,2027
2027-08-01,2027-08-22,8,2027
2027-08-08,2027-08-22,8,2027
2027-08-15,2027-08-22,8,2027
2027-08-22,2027-08-22,8,2027
2027-08-29,2027-09-26,9,2027
2027-09-05,2027-09-26,9,2027
2027-09-12,2027-09-26,9,2027
2027-09-19,2027-09-26,9,2027
2027-09-26,2027-09-26,9,2027
2027-10-03,2027-10-24,10,2027
2027-10-10,2027-10-24,10,2027
2027-10-17,2027-10-24,10,2027
2027-10-24,2027-10-24,10,2027
2027-10-31,2027-11-21,11,2027
2027-11-07,2027-11-21,11,2027
2027-11-14,2027-11-21,11,2027
2027-11-21,2027-11-21,11,2027
2027-11-28,2027-12-26,12,2027
2027-12-05,2027-12-26,12,2027
2027-12-12,2027-12-26,12,2027
2027-12-19,2027-12-26,12,2027
2027-12-26,2027-12-26,12,2027
